tanggal,harga
2018-01-01,12276.0
2018-02-01,12414.0
2018-03-01,12299.0
2018-04-01,12035.0
2018-05-01,11943.0
2018-06-01,11907.26
2018-07-01,11936.0
2018-08-01,11899.0
2018-09-01,11900.0
2018-10-01,11926.21
2018-11-01,12013.0
2018-12-01,12105.77
2019-01-01,12211.09
2019-02-01,12222.0
2019-03-01,12124.0
2019-04-01,12019.0
2019-05-01,12008.0
2019-06-01,12009.0
2019-07-01,12021.0
2019-08-01,12018.0
2019-09-01,12050.0
2019-10-01,12108.0
2019-11-01,12120.0
2019-12-01,12183.03
2020-01-01,12342.74
2020-02-01,12355.15
2020-03-01,12368.0
2020-04-01,12382.1
2020-05-01,12293.03
2020-06-01,12223.98
2020-07-01,12212.63
2020-08-01,12212.07
2020-09-01,12188.86
2020-10-01,12186.97
2020-11-01,12178.62
2020-12-01,12184.52
2021-01-01,10474.0
2021-02-01,10479.0
2021-03-01,10424.0
2021-04-01,10356.0
2021-05-01,10385.0
2021-06-01,10384.0
2021-07-01,10361.0
2021-08-01,10352.0
2021-09-01,10351.0
2021-10-01,10367.0
2021-11-01,10375.0
2021-12-01,10429.0
2022-01-01,10496.0
2022-02-01,10471.0
2022-03-01,10463.0
2022-04-01,10455.0
2022-05-01,10448.0
2022-06-01,10448.0
2022-07-01,10449.0
2022-08-01,10551.0
2022-09-01,10772.0
2022-10-01,10947.0
2022-11-01,11012.0
2022-12-01,11363.0
2023-01-01,11647.91
2023-02-01,11990.12
2023-03-01,12041.64
2023-04-01,12092.38
2023-05-01,12102.7
2023-06-01,12115.81
2023-07-01,12141.72
2023-08-01,12265.68
2023-09-01,13036.96
2023-10-01,13315.29
2023-11-01,13380.4
2023-12-01,13458.06
2024-01-01,13588.0
2024-02-01,14397.0
2024-03-01,14528.0
2024-04-01,13902.0
2024-05-01,13471.0
2024-06-01,13433.0
2024-07-01,13571.0
2024-08-01,13600.0
2024-09-01,13611.0
2024-10-01,13563.0
2024-11-01,13453.0
2024-12-01,13486.0
2025-01-01,13561.0
2025-02-01,13604.0
2025-03-01,13757.0
2025-04-01,13728.0
2025-05-01,13735.0
2025-06-01,13979.0
2025-07-01,14202.0
2025-08-01,14292.0
2025-09-01,14290.0
2025-10-01,14264.0
